symbol,decision,data_quality_score_0_100,readiness_status,full_zone_missing
ETH,CZEKAJ,100,PRODUCTION_DATA_READY,
SOL,CZEKAJ,100,PRODUCTION_DATA_READY,
LINK,SPRAWDŹ,100,PRODUCTION_DATA_READY,
ONDO,CZEKAJ — FOMO,100,PRODUCTION_DATA_READY,
RENDER,CZEKAJ,100,PRODUCTION_DATA_READY,
FLOKI,CZEKAJ,100,PRODUCTION_DATA_READY,
PEPE,CZEKAJ,100,PRODUCTION_DATA_READY,
SPX6900,KUP DCA,100,PRODUCTION_DATA_READY,
XRP,CZEKAJ,100,PRODUCTION_DATA_READY,
XLM,CZEKAJ,100,PRODUCTION_DATA_READY,
HBAR,CZEKAJ,100,PRODUCTION_DATA_READY,
AVAX,CZEKAJ,100,PRODUCTION_DATA_READY,
AWE,KUP PO RETEŚCIE,100,PRODUCTION_DATA_READY,
